word=de,f=221,flags=,originalFreq=221
word=la,f=213,flags=,originalFreq=213
word=et,f=210,flags=,originalFreq=210
word=le,f=209,flags=,originalFreq=209
word=à,f=208,flags=,originalFreq=208
word=des,f=205,flags=,originalFreq=205
word=en,f=205,flags=,originalFreq=205
word=les,f=204,flags=,originalFreq=204
word=du,f=203,flags=,originalFreq=203
word=est,f=202,flags=,originalFreq=202
word=un,f=198,flags=,originalFreq=198
word=dans,f=197,flags=,originalFreq=197
word=par,f=196,flags=,originalFreq=196
word=une,f=196,flags=,originalFreq=196
word=au,f=194,flags=,originalFreq=194
word=pour,f=194,flags=,originalFreq=194
word=qui,f=193,flags=,originalFreq=193
word=il,f=191,flags=,originalFreq=191
word=que,f=191,flags=,originalFreq=191
word=a,f=190,flags=,originalFreq=190
word=sur,f=190,flags=,originalFreq=190
word=avec,f=188,flags=,originalFreq=188
word=se,f=188,flags=,originalFreq=188
word=son,f=188,flags=,originalFreq=188
word=plus,f=187,flags=,originalFreq=187
word=sont,f=185,flags=,originalFreq=185
word=ou,f=184,flags=,originalFreq=184
word=sa,f=183,flags=,originalFreq=183
word=aux,f=181,flags=,originalFreq=181
word=ce,f=181,flags=,originalFreq=181
word=comme,f=181,flags=,originalFreq=181
word=été,f=181,flags=,originalFreq=181
word=pas,f=180,flags=,originalFreq=180
word=ses,f=180,flags=,originalFreq=180
word=deux,f=179,flags=,originalFreq=179
word=ne,f=179,flags=,originalFreq=179
word=d'un,f=178,flags=,originalFreq=178
word=d'une,f=178,flags=,originalFreq=178
word=mais,f=177,flags=,originalFreq=177
word=cette,f=176,flags=,originalFreq=176
word=fait,f=176,flags=,originalFreq=176
word=fut,f=176,flags=,originalFreq=176
word=entre,f=175,flags=,originalFreq=175
word=ont,f=175,flags=,originalFreq=175
word=elle,f=174,flags=,originalFreq=174
word=lui,f=174,flags=,originalFreq=174
word=était,f=174,flags=,originalFreq=174
word=aussi,f=173,flags=,originalFreq=173
word=dont,f=173,flags=,originalFreq=173
word=leur,f=173,flags=,originalFreq=173
word=même,f=173,flags=,originalFreq=173
word=où,f=173,flags=,originalFreq=173
word=alors,f=172,flags=,originalFreq=172
word=qu'il,f=172,flags=,originalFreq=172
word=sous,f=172,flags=,originalFreq=172
word=nom,f=171,flags=,originalFreq=171
word=également,f=171,flags=,originalFreq=171
word=ans,f=170,flags=,originalFreq=170
word=après,f=170,flags=,originalFreq=170
word=premier,f=170,flags=,originalFreq=170
word=ville,f=170,flags=,originalFreq=170
word=y,f=170,flags=,originalFreq=170
word=être,f=170,flags=,originalFreq=170
word=partie,f=169,flags=,originalFreq=169
word=peut,f=169,flags=,originalFreq=169
word=première,f=169,flags=,originalFreq=169
word=très,f=169,flags=,originalFreq=169
word=années,f=168,flags=,originalFreq=168
word=ces,f=168,flags=,originalFreq=168
word=depuis,f=168,flags=,originalFreq=168
word=lors,f=168,flags=,originalFreq=168
word=puis,f=168,flags=,originalFreq=168
word=contre,f=167,flags=,originalFreq=167
word=groupe,f=167,flags=,originalFreq=167
word=on,f=167,flags=,originalFreq=167
word=plusieurs,f=167,flags=,originalFreq=167
word=tout,f=167,flags=,originalFreq=167
word=trois,f=167,flags=,originalFreq=167
word=avant,f=166,flags=,originalFreq=166
word=commune,f=166,flags=,originalFreq=166
word=fois,f=166,flags=,originalFreq=166
word=français,f=166,flags=,originalFreq=166
word=vers,f=166,flags=,originalFreq=166
word=autres,f=165,flags=,originalFreq=165
word=avait,f=165,flags=,originalFreq=165
word=fin,f=165,flags=,originalFreq=165
word=né,f=165,flags=,originalFreq=165
word=sans,f=165,flags=,originalFreq=165
word=bien,f=164,flags=,originalFreq=164
word=encore,f=164,flags=,originalFreq=164
word=monde,f=164,flags=,originalFreq=164
word=mort,f=164,flags=,originalFreq=164
word=notamment,f=164,flags=,originalFreq=164
word=pays,f=164,flags=,originalFreq=164
word=place,f=164,flags=,originalFreq=164
word=région,f=164,flags=,originalFreq=164
word=temps,f=164,flags=,originalFreq=164
word=avoir,f=163,flags=,originalFreq=163
word=donc,f=163,flags=,originalFreq=163
word=faire,f=163,flags=,originalFreq=163
word=famille,f=163,flags=,originalFreq=163
word=leurs,f=163,flags=,originalFreq=163
word=peu,f=163,flags=,originalFreq=163
word=soit,f=163,flags=,originalFreq=163
word=tous,f=163,flags=,originalFreq=163
word=cours,f=162,flags=,originalFreq=162
word=française,f=162,flags=,originalFreq=162
word=guerre,f=162,flags=,originalFreq=162
word=n'est,f=162,flags=,originalFreq=162
word=partir,f=162,flags=,originalFreq=162
word=saison,f=162,flags=,originalFreq=162
word=suite,f=162,flags=,originalFreq=162
word=titre,f=162,flags=,originalFreq=162
word=devient,f=161,flags=,originalFreq=161
word=début,f=161,flags=,originalFreq=161
word=grande,f=161,flags=,originalFreq=161
word=général,f=161,flags=,originalFreq=161
word=ils,f=161,flags=,originalFreq=161
word=lieu,f=161,flags=,originalFreq=161
word=moins,f=161,flags=,originalFreq=161
word=nombre,f=161,flags=,originalFreq=161
word=nouveau,f=161,flags=,originalFreq=161
word=pendant,f=161,flags=,originalFreq=161
word=politique,f=161,flags=,originalFreq=161
word=quelques,f=161,flags=,originalFreq=161
word=située,f=161,flags=,originalFreq=161
word=vie,f=161,flags=,originalFreq=161
word=d'autres,f=160,flags=,originalFreq=160
word=forme,f=160,flags=,originalFreq=160
word=grand,f=160,flags=,originalFreq=160
word=jusqu'à,f=160,flags=,originalFreq=160
word=non,f=160,flags=,originalFreq=160
word=population,f=160,flags=,originalFreq=160
word=quatre,f=160,flags=,originalFreq=160
word=si,f=160,flags=,originalFreq=160
word=série,f=160,flags=,originalFreq=160
word=c'est,f=159,flags=,originalFreq=159
word=club,f=159,flags=,originalFreq=159
word=film,f=159,flags=,originalFreq=159
word=fils,f=159,flags=,originalFreq=159
word=nombreux,f=159,flags=,originalFreq=159
word=roi,f=159,flags=,originalFreq=159
word=souvent,f=159,flags=,originalFreq=159
word=tard,f=159,flags=,originalFreq=159
word=trouve,f=159,flags=,originalFreq=159
word=États-Unis,f=159,flags=,originalFreq=159
word=cas,f=158,flags=,originalFreq=158
